,i_p,notes_p,score_p,i_v,notes_v,score_v
74,8,4,7,5,4,1
74,4,4,2,10,3,4
74,1,4,5,9,2,4
74,7,4,1,4,4,6
74,10,4,5,6,4,4
74,3,5,6,1,4,7
74,5,4,3,3,5,4
74,2,4,2,2,5,4
74,4,4,3,10,3,4
74,7,4,6,4,4,7
74,6,3,3,7,5,4
74,9,4,2,8,3,3
74,8,4,6,5,4,2
74,1,4,7,9,2,7
74,10,4,5,6,4,4
75,10,1,6,6,1,2
75,4,5,6,7,5,6
75,9,3,4,9,1,1
75,5,1,3,3,5,4
75,1,1,6,5,3,2
75,8,5,6,2,3,1
75,2,1,5,4,2,7
75,7,5,7,8,4,1
75,3,3,2,1,1,6
75,6,2,3,10,1,5
75,10,1,0,6,1,7
75,9,3,7,9,1,2
75,1,1,0,5,3,4
75,2,1,0,4,2,5
75,3,3,4,1,1,4
75,4,5,5,7,5,3
75,5,1,1,3,5,4
75,8,5,4,2,3,5
75,7,5,6,8,4,6
75,6,2,3,10,1,5
76,3,2,2,1,3,4
76,6,3,7,7,4,3
76,5,2,4,3,3,2
76,9,2,7,10,4,1
76,2,2,5,5,4,2
76,7,3,3,2,3,1
76,4,2,6,4,3,7
76,10,2,7,8,4,5
76,1,2,6,9,4,7
76,8,3,3,6,4,4
76,3,2,6,1,3,7
76,5,2,3,3,3,4
76,2,2,2,5,4,4
76,4,2,2,4,3,4
76,1,2,4,9,4,6
76,6,3,3,7,4,5
76,9,2,1,10,4,4
76,7,3,1,2,3,5
76,10,2,2,8,4,4
76,8,3,3,6,4,4
77,1,2,7,1,5,1
77,9,1,1,8,3,4
77,7,2,1,6,4,6
77,10,2,6,2,5,1
77,4,4,1,4,4,4
77,6,2,4,5,3,2
77,2,2,3,9,3,6
77,5,4,1,7,3,3
77,8,2,3,3,3,2
77,3,3,1,10,3,6
77,1,2,5,1,5,4
77,7,2,3,6,4,6
77,4,4,2,4,4,4
77,2,2,6,9,3,1
77,8,2,2,3,3,7
77,9,1,0,8,3,5
77,10,2,3,2,5,2
77,6,2,7,5,3,7
77,5,4,6,7,3,5
77,3,3,1,10,3,6
78,9,4,7,10,3,5
78,1,4,2,7,3,7
78,4,4,6,4,2,5
78,10,4,7,1,4,7
78,2,4,5,9,4,2
78,7,4,4,5,3,3
78,8,4,1,8,4,4
78,5,4,7,6,3,6
78,6,3,2,2,4,4
78,3,3,5,3,4,2
78,9,4,6,10,3,4
78,4,4,2,4,2,4
78,2,4,6,9,4,5
78,8,4,5,8,4,5
78,6,3,4,2,4,7
78,1,4,7,7,3,4
78,10,4,1,1,4,6
78,7,4,2,5,3,7
78,5,4,6,6,3,5
78,3,3,5,3,4,2
79,5,3,2,1,2,6
79,7,5,5,10,5,5
79,2,3,7,6,5,6
79,9,5,7,2,3,2
79,1,3,2,9,5,4
79,4,4,6,4,3,4
79,10,4,2,5,4,3
79,8,5,5,8,5,7
79,6,3,2,3,3,3
79,3,4,6,7,4,4
